city,year,N
Aveiro,2015.0,62
Aveiro,2016.0,64
Aveiro,2017.0,54
Aveiro,2018.0,103
Aveiro,2019.0,92
Aveiro,2020.0,88
Aveiro,2021.0,90
Aveiro,2022.0,47
Beja,2015.0,51
Beja,2016.0,77
Beja,2017.0,68
Beja,2018.0,104
Beja,2019.0,100
Beja,2020.0,84
Beja,2021.0,97
Beja,2022.0,74
Braga,2015.0,52
Braga,2016.0,53
Braga,2017.0,71
Braga,2018.0,87
Braga,2019.0,104
Braga,2020.0,98
Braga,2021.0,103
Braga,2022.0,97
Bragança,2015.0,61
Bragança,2016.0,65
Bragança,2017.0,79
Bragança,2018.0,101
Bragança,2019.0,86
Bragança,2020.0,93
Bragança,2021.0,93
Bragança,2022.0,45
Castelo Branco,2015.0,40
Castelo Branco,2016.0,44
Castelo Branco,2017.0,90
Castelo Branco,2018.0,97
Castelo Branco,2019.0,85
Castelo Branco,2020.0,85
Castelo Branco,2021.0,86
Castelo Branco,2022.0,53
Coimbra,2015.0,65
Coimbra,2016.0,87
Coimbra,2017.0,102
Coimbra,2018.0,106
Coimbra,2019.0,101
Coimbra,2020.0,88
Coimbra,2021.0,102
Coimbra,2022.0,67
Faro,2015.0,55
Faro,2016.0,73
Faro,2017.0,63
Faro,2018.0,107
Faro,2019.0,91
Faro,2020.0,84
Faro,2021.0,94
Faro,2022.0,68
Guarda,2015.0,41
Guarda,2016.0,87
Guarda,2017.0,90
Guarda,2018.0,98
Guarda,2019.0,90
Guarda,2020.0,89
Guarda,2021.0,100
Guarda,2022.0,58
Leiria,2015.0,33
Leiria,2016.0,54
Leiria,2017.0,68
Leiria,2018.0,106
Leiria,2019.0,88
Leiria,2020.0,89
Leiria,2021.0,95
Leiria,2022.0,77
Lisboa,2015.0,38
Lisboa,2016.0,34
Lisboa,2017.0,63
Lisboa,2018.0,106
Lisboa,2019.0,100
Lisboa,2020.0,101
Lisboa,2021.0,110
Lisboa,2022.0,100
Portalegre,2015.0,52
Portalegre,2016.0,50
Portalegre,2017.0,79
Portalegre,2018.0,101
Portalegre,2019.0,98
Portalegre,2020.0,94
Portalegre,2021.0,97
Portalegre,2022.0,45
Porto,2015.0,31
Porto,2016.0,36
Porto,2017.0,59
Porto,2018.0,87
Porto,2019.0,102
Porto,2020.0,92
Porto,2021.0,103
Porto,2022.0,99
Santarém,2015.0,61
Santarém,2016.0,48
Santarém,2017.0,78
Santarém,2018.0,97
Santarém,2019.0,92
Santarém,2020.0,85
Santarém,2021.0,97
Santarém,2022.0,50
Setúbal,2015.0,53
Setúbal,2016.0,56
Setúbal,2017.0,73
Setúbal,2018.0,102
Setúbal,2019.0,100
Setúbal,2020.0,98
Setúbal,2021.0,85
Setúbal,2022.0,48
Viana do Castelo,2015.0,48
Viana do Castelo,2016.0,55
Viana do Castelo,2017.0,81
Viana do Castelo,2018.0,97
Viana do Castelo,2019.0,88
Viana do Castelo,2020.0,87
Viana do Castelo,2021.0,98
Viana do Castelo,2022.0,62
Vila Real,2015.0,68
Vila Real,2016.0,78
Vila Real,2017.0,95
Vila Real,2018.0,100
Vila Real,2019.0,84
Vila Real,2020.0,82
Vila Real,2021.0,95
Vila Real,2022.0,56
Viseu,2015.0,53
Viseu,2016.0,54
Viseu,2017.0,82
Viseu,2018.0,81
Viseu,2019.0,76
Viseu,2020.0,90
Viseu,2021.0,92
Viseu,2022.0,40
Évora,2015.0,74
Évora,2016.0,85
Évora,2017.0,78
Évora,2018.0,102
Évora,2019.0,100
Évora,2020.0,92
Évora,2021.0,90
Évora,2022.0,45
